sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 21, 2025 20:43:20

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
example_top:example_top                                     	   5818(41)	     700(0)	   1490(25)	   5563(74)	     0(0)	    87(0)	     4(1)	
 +ddr3_ctl_axi:DdrCtrl                                      	    2190(0)	     514(0)	     472(0)	    2451(0)	     0(0)	    27(0)	     0(0)	
  +u_efx_ddr3_soft_controller:efx_ddr3_soft_controller_5ee7df9aa375494db25875c4929bcb33	    2190(0)	     514(0)	     472(0)	    2451(0)	     0(0)	    27(0)	     0(0)	
   +genblk1.inst_ddr3_axi:efx_ddr3_axi_5ee7df9aa375494db25875c4929bcb33	  2190(321)	     514(0)	   472(128)	  2451(221)	     0(0)	    27(0)	     0(0)	
    +inst_arburst_fifo:Ddr_Ctrl_Sc_Fifo_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       8(8)	     12(12)	     22(22)	     0(0)	     0(0)	     0(0)	
    +u_rd_addr_fifo:Ddr_Ctrl_Sc_Fifo_5ee7df9aa375494db25875c4929bcb33(DATA_DEPTH=32)	       7(7)	   116(116)	     12(12)	     87(87)	     0(0)	     0(0)	     0(0)	
    +u_wr_addr_fifo:Ddr_Ctrl_Sc_Fifo_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=48,DATA_DEPTH=32)	       7(7)	   124(124)	     12(12)	     99(99)	     0(0)	     0(0)	     0(0)	
    +inst_awid_fifo:Ddr_Ctrl_Sc_Fifo_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     13(13)	     0(0)	     0(0)	     0(0)	
    +inst_arid_fifo:Ddr_Ctrl_Sc_Fifo_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     14(14)	     0(0)	     0(0)	     0(0)	
    +inst_respon_fifo:Ddr_Ctrl_Sc_Fifo_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     13(13)	     0(0)	     0(0)	     0(0)	
    +inst_rd_brust_fifo:Ddr_Ctrl_Sc_Fifo_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     33(33)	     0(0)	     0(0)	     0(0)	
    +inst_rd_last_fifo:Ddr_Ctrl_Sc_Fifo_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     34(34)	     0(0)	     0(0)	     0(0)	
    +inst_respon_len_fifo:Ddr_Ctrl_Sc_Fifo_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     33(33)	     0(0)	     0(0)	     0(0)	
    +inst_efx_ddr3:top_5ee7df9aa375494db25875c4929bcb33     	  1806(187)	     170(0)	    236(64)	  1882(402)	     0(0)	    27(0)	     0(0)	
     +mux0:native_mux_5ee7df9aa375494db25875c4929bcb33      	       0(0)	       0(0)	       0(0)	   186(186)	     0(0)	     0(0)	     0(0)	
     +top_mc:controller_top_5ee7df9aa375494db25875c4929bcb33	   1598(27)	     168(0)	     172(0)	   1280(26)	     0(0)	    27(0)	     0(0)	
      +rst_ctrl0:reset_ctrl_5ee7df9aa375494db25875c4929bcb33(NUM_RST=4,CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	      16(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_5ee7df9aa375494db25875c4929bcb33(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_5ee7df9aa375494db25875c4929bcb33(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[2].genblk1.genblk1.inst_sysclk_rstn:reset_sub_5ee7df9aa375494db25875c4929bcb33(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[3].genblk1.genblk1.inst_sysclk_rstn:reset_sub_5ee7df9aa375494db25875c4929bcb33(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +rst_ctrl1:reset_ctrl_5ee7df9aa375494db25875c4929bcb33(CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	       4(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_5ee7df9aa375494db25875c4929bcb33(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +fifo_ar:streamfifocc64_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     77(73)	     0(0)	     2(2)	     0(0)	
       +popToPushGray_buffercc:buffercc_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_aw:streamfifocc64_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     79(76)	     0(0)	     2(2)	     0(0)	
       +popToPushGray_buffercc:buffercc_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_wr:streamfifocc64_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=144)	     54(26)	       0(0)	       8(8)	     51(48)	     0(0)	     8(8)	     0(0)	
       +popToPushGray_buffercc:buffercc_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_rdpush:streamfifocc64_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=1)	     54(26)	       0(0)	       8(8)	     45(38)	     0(0)	     0(0)	     0(0)	
       +popToPushGray_buffercc:buffercc_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +fifo_rd:efx_fifo_top_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=128)	      61(0)	      22(2)	      37(0)	      76(0)	     0(0)	     7(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_5ee7df9aa375494db25875c4929bcb33(WDATA_WIDTH=128,RDATA_WIDTH=128,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     27(27)	     0(0)	     7(7)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_5ee7df9aa375494db25875c4929bcb33(SYNC_CLK=0,PROGRAMMABLE_FULL="STATIC_DUAL",PROG_FULL_ASSERT=27,PROG_FULL_NEGATE=23,PROGRAMMABLE_EMPTY="STATIC_DUAL",PROG_EMPTY_ASSERT=5,PROG_EMPTY_NEGATE=7)	     61(61)	      20(0)	     37(37)	     49(13)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_5ee7df9aa375494db25875c4929bcb33(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_5ee7df9aa375494db25875c4929bcb33(STAGE=2,WIDTH=10)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_5ee7df9aa375494db25875c4929bcb33(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_addr_sync:efx_fifo_datasync_5ee7df9aa375494db25875c4929bcb33(STAGE=2,WIDTH=10)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_ack:streamfifocc64_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=2)	     54(26)	       0(0)	       0(0)	     45(38)	     0(0)	     1(1)	     0(0)	
       +popToPushGray_buffercc:buffercc_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +ac_fifo:streamfifocc64_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=52)	     54(26)	       0(0)	       0(0)	     42(38)	     0(0)	     3(3)	     0(0)	
       +popToPushGray_buffercc:buffercc_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
